instance_name,configLB,configValSplit,lastNDCpu
Kirlik14-ILP_p-3_n-20_m-10_ins-10,WLP,rand,21.2351
Kirlik14-ILP_p-3_n-20_m-10_ins-2,WLP,med,6.77981
Kirlik14-ILP_p-3_n-20_m-10_ins-2,WLP,mofv,5.69691
Kirlik14-ILP_p-3_n-20_m-10_ins-2,WLP,rand,4.35255
Kirlik14-ILP_p-3_n-20_m-10_ins-3,WLP,med,23.6358
Kirlik14-ILP_p-3_n-20_m-10_ins-3,WLP,mofv,20.0772
Kirlik14-ILP_p-3_n-20_m-10_ins-3,WLP,rand,21.9265
Kirlik14-ILP_p-3_n-20_m-10_ins-4,WLP,med,2.66483
Kirlik14-ILP_p-3_n-20_m-10_ins-4,WLP,mofv,2.76792
Kirlik14-ILP_p-3_n-20_m-10_ins-4,WLP,rand,2.78143
Kirlik14-ILP_p-3_n-20_m-10_ins-5,WLP,med,1.82065
Kirlik14-ILP_p-3_n-20_m-10_ins-5,WLP,mofv,1.99932
Kirlik14-ILP_p-3_n-20_m-10_ins-5,WLP,rand,1.90185
Kirlik14-ILP_p-3_n-20_m-10_ins-6,WLP,med,16.1254
Kirlik14-ILP_p-3_n-20_m-10_ins-6,WLP,mofv,15.4003
Kirlik14-ILP_p-3_n-20_m-10_ins-6,WLP,rand,13.7237
Kirlik14-ILP_p-3_n-20_m-10_ins-7,WLP,med,83.7625
Kirlik14-ILP_p-3_n-20_m-10_ins-7,WLP,mofv,82.5235
Kirlik14-ILP_p-3_n-20_m-10_ins-7,WLP,rand,100.079
Kirlik14-ILP_p-3_n-20_m-10_ins-8,WLP,med,52.9042
Kirlik14-ILP_p-3_n-20_m-10_ins-8,WLP,mofv,41.6673
Kirlik14-ILP_p-3_n-20_m-10_ins-8,WLP,rand,39.1324
Kirlik14-ILP_p-3_n-20_m-10_ins-9,WLP,med,18.083
Kirlik14-ILP_p-3_n-20_m-10_ins-9,WLP,mofv,17.2012
Kirlik14-ILP_p-3_n-20_m-10_ins-9,WLP,rand,22.5417
Kirlik14-ILP_p-3_n-30_m-15_ins-1,WLP,med,634.857
Kirlik14-ILP_p-3_n-30_m-15_ins-1,WLP,mofv,604.239
Kirlik14-ILP_p-3_n-30_m-15_ins-1,WLP,rand,549.167
Kirlik14-ILP_p-3_n-30_m-15_ins-10,WLP,med,89.5096
Kirlik14-ILP_p-3_n-30_m-15_ins-10,WLP,mofv,60.8952
Kirlik14-ILP_p-3_n-30_m-15_ins-10,WLP,rand,62.0124
Kirlik14-ILP_p-3_n-30_m-15_ins-2,WLP,med,42.0614
Kirlik14-ILP_p-3_n-30_m-15_ins-2,WLP,mofv,41.9548
Kirlik14-ILP_p-3_n-30_m-15_ins-2,WLP,rand,47.9708
Kirlik14-ILP_p-3_n-30_m-15_ins-3,WLP,med,3418.29
Kirlik14-ILP_p-3_n-30_m-15_ins-3,WLP,mofv,3595.28
Kirlik14-ILP_p-3_n-30_m-15_ins-3,WLP,rand,3593.92
Kirlik14-ILP_p-3_n-30_m-15_ins-4,WLP,med,1005.58
Kirlik14-ILP_p-3_n-30_m-15_ins-4,WLP,mofv,873.541
Kirlik14-ILP_p-3_n-30_m-15_ins-4,WLP,rand,999.551
Kirlik14-ILP_p-3_n-30_m-15_ins-5,WLP,med,394.038
Kirlik14-ILP_p-3_n-30_m-15_ins-5,WLP,mofv,389.199
