instance,p,n,configLB,configNodeSel,configOB,configValSplit,solved,YN,cpuTotal,nbLpSolved,cpuInitialization,cpuCplex,cpuUpdatePolyhedron,nbNodes,minDepth,maxDepth,avgDepth,nbFathomedInfeas,nbFathomedOptimality,nbFathomedDominance,cpuDominanceTest,cpuUbUpdate,cpuLbComputation,cpuComputeOb,cpuVarSel,cpuNodeSel,cpuLbCopy
Forget21-PPP_21_3_1-100_1-100_1-2500_1_50_random_1_1.txt,3,63,WLP,breadth,noOB,med2,1,118,1130.73,4815454,0.0007008,1021.86,39.8154,282207,1,56,19.9763,5686,340,135078,0.539504,1.27302,1115.89,0.0401638,7.26188,1.97873,5.62318
Forget21-PPP_21_3_1-100_1-100_1-2500_1_50_random_1_1.txt,3,63,WLP,breadth,noOB,mofvRevisited2,1,118,1048.36,4813172,0.0008284,943.933,38.2162,280993,1,60,19.8802,5453,549,134495,0.492313,1.25922,1035.66,0.0394011,7.11677,0.0932254,5.57065
Forget21-PPP_21_3_1-100_1-100_1-2500_1_50_random_1_1.txt,3,63,WLP,breadth,noOB,rand,1,118,1204.52,4813528,0.00085,1095.68,39.5408,281041,1,67,19.883,5390,619,134512,0.551051,1.2802,1189.57,0.0411392,7.22264,2.05473,5.6438
Forget21-PPP_21_3_1-100_1-100_1-2500_1_50_random_2_2.txt,3,63,WLP,breadth,noOB,med2,1,2574,1842.76,7492666,0.0011763,1614.78,66.5097,588605,1,88,29.0954,50857,4701,238745,13.7887,5.3253,1793.29,0.0992238,16.0088,6.10941,12.668
Forget21-PPP_21_3_1-100_1-100_1-2500_1_50_random_2_2.txt,3,63,WLP,breadth,noOB,mofvRevisited2,1,2574,1858.79,7406141,0.0010083,1640.42,65.2058,562613,1,76,28.416,45860,6125,229322,12.728,5.31073,1812.35,0.094144,15.0996,5.53361,11.9201
Forget21-PPP_21_3_1-100_1-100_1-2500_1_50_random_2_2.txt,3,63,WLP,breadth,noOB,rand,1,2574,1932.92,7385428,0.0009015,1709.13,66.7847,557743,1,73,28.1853,45288,6071,227513,12.3386,5.19497,1883.4,0.0930937,15.2914,8.78738,12.2371
Forget21-PPP_21_3_1-100_1-100_1-2500_1_50_random_3_3.txt,3,63,WLP,breadth,noOB,med2,1,1796,1230.09,5436389,0.0007061,1095.43,48.1281,312657,1,74,26.1595,24377,2321,129631,5.65135,2.98502,1204.56,0.0513018,10.382,1.80543,8.25514
Forget21-PPP_21_3_1-100_1-100_1-2500_1_50_random_3_3.txt,3,63,WLP,breadth,noOB,mofvRevisited2,1,1796,1315.89,5460330,0.0007652,1180.37,48.2356,307853,1,78,27.0719,20730,3812,129385,6.67078,3.36885,1289.62,0.0508711,9.95936,1.52895,7.96622
Forget21-PPP_21_3_1-100_1-100_1-2500_1_50_random_3_3.txt,3,63,WLP,breadth,noOB,rand,1,1796,1316.37,5453971,0.0029617,1185.49,47.3742,306235,1,78,26.9707,20409,3883,128826,6.00406,3.25113,1293.04,0.0504898,9.29197,0.110919,7.38716
Forget21-PPP_21_3_1-100_1-100_1-2500_1_50_random_4_4.txt,3,63,WLP,breadth,noOB,med2,1,1183,817.044,3567161,0.0021177,735.241,29.7447,199115,1,106,26.2056,5172,3516,90870,2.67693,1.92781,803.561,0.0296762,5.90638,0.0539682,4.56779
