instance,p,n,configLB,configNodeSel,configOB,configValSplit,solved,YN,cpuTotal,nbLpSolved,cpuInitialization,cpuCplex,cpuUpdatePolyhedron,nbNodes,minDepth,maxDepth,avgDepth,nbFathomedInfeas,nbFathomedOptimality,nbFathomedDominance,cpuDominanceTest,cpuUbUpdate,cpuLbComputation,cpuComputeOb,cpuVarSel,cpuNodeSel,cpuLbCopy
Forget21-PPP_8_4_1-100_1-100_1-2500_1_50_random_7_7.txt,4,24,WLP,breadth,noOB,mofvRevisited2,1,171,0.684327,4400,0.0007679,0.547904,0.0483199,823,1,31,17.5607,81,182,149,0.0159403,0.0027229,0.64118,0.000127,0.0139258,0.000101,0.011636
Forget21-PPP_8_4_1-100_1-100_1-2500_1_50_random_8_8.txt,4,24,WLP,breadth,noOB,mofvRevisited2,1,16,0.413428,1924,0.0018493,0.335101,0.0461091,173,1,22,11.3563,11,24,52,0.0005195,0.0007812,0.399276,3.53e-05,0.0065578,4.34e-05,0.0058753
Forget21-PPP_8_4_1-100_1-100_1-2500_1_50_random_9_9.txt,4,24,WLP,breadth,noOB,mofvRevisited2,1,192,1.22001,7107,0.00073,0.950624,0.112811,1345,1,33,18.1991,119,274,280,0.0308803,0.0042131,1.14141,0.0002006,0.0270655,0.000195,0.0232411
Forget21-PPP_8_5_1-100_1-100_1-2500_1_50_random_10_10.txt,5,24,WLP,breadth,noOB,mofvRevisited2,1,896,6.54087,26715,0.0008078,3.58098,0.527098,5223,1,42,22.7802,311,1330,971,1.89491,0.0388364,4.41402,0.0012936,0.12516,0.0012223,0.108229
Forget21-PPP_8_5_1-100_1-100_1-2500_1_50_random_1_1.txt,5,24,WLP,breadth,noOB,mofvRevisited2,1,1576,10.4171,27391,0.0008411,3.70439,0.518841,5691,1,40,22.6001,295,1709,842,5.54937,0.0934725,4.55808,0.0023746,0.140323,0.0013557,0.11749
Forget21-PPP_8_5_1-100_1-100_1-2500_1_50_random_2_2.txt,5,24,WLP,breadth,noOB,mofvRevisited2,1,1219,33.0529,93960,0.0008046,12.8309,2.00574,17621,1,43,23.0527,1153,3351,4307,16.23,0.199398,15.8912,0.0049923,0.45945,0.0048038,0.399074
Forget21-PPP_8_5_1-100_1-100_1-2500_1_50_random_3_3.txt,5,24,WLP,breadth,noOB,mofvRevisited2,1,1743,21.2927,40131,0.0008229,5.37899,0.710795,8011,1,44,25.9436,314,2069,1623,14.2341,0.154259,6.58193,0.0044525,0.205245,0.0020656,0.172488
Forget21-PPP_8_5_1-100_1-100_1-2500_1_50_random_4_4.txt,5,24,WLP,breadth,noOB,mofvRevisited2,1,2792,50.6461,70769,0.0008963,9.52083,1.38778,15281,1,44,23.8019,1344,3804,2493,37.8081,0.417525,11.8202,0.0076405,0.374212,0.003262,0.315852
Forget21-PPP_8_5_1-100_1-100_1-2500_1_50_random_5_5.txt,5,24,WLP,breadth,noOB,mofvRevisited2,1,4572,58.1733,83005,0.0008756,11.6663,1.51813,15147,1,43,25.3483,877,2631,4066,42.7078,0.638329,14.1375,0.0069529,0.423669,0.0042755,0.362027
Forget21-PPP_8_5_1-100_1-100_1-2500_1_50_random_6_6.txt,5,24,WLP,breadth,noOB,mofvRevisited2,1,4287,147.976,127464,0.0008137,17.4851,1.83945,27849,1,45,26.2136,1592,6275,6058,124.815,0.953651,21.1002,0.0194484,0.671294,0.0063733,0.546624
Forget21-PPP_8_5_1-100_1-100_1-2500_1_50_random_7_7.txt,5,24,WLP,breadth,noOB,mofvRevisited2,1,366,1.551,8747,0.0008302,1.07735,0.184886,1641,1,32,19.2278,124,437,260,0.134508,0.0062417,1.35351,0.000283,0.0359308,0.0002815,0.0312829
Forget21-PPP_8_5_1-100_1-100_1-2500_1_50_random_8_8.txt,5,24,WLP,breadth,noOB,mofvRevisited2,1,2249,44.471,93116,0.0008098,12.5325,1.6322,18351,1,49,29.3657,1368,3217,4591,28.0768,0.26481,15.3316,0.0084464,0.494825,0.0053134,0.421192
Forget21-PPP_8_5_1-100_1-100_1-2500_1_50_random_9_9.txt,5,24,WLP,breadth,noOB,mofvRevisited2,1,192,1.24419,6803,0.000815,0.895801,0.169026,1215,1,32,19.1135,131,262,215,0.0613878,0.0033356,1.13261,0.0001764,0.0288063,0.0002071,0.0253455
Forget21-PPP_9_3_1-100_1-100_1-2500_1_50_random_10_10.txt,3,27,WLP,breadth,noOB,mofvRevisited2,1,11,0.222524,1366,0.0005456,0.190599,0.0099746,169,1,9,7.74118,1,20,64,0.000215,0.0003886,0.214122,3.27e-05,0.0030781,4.34e-05,0.0025388
Forget21-PPP_9_3_1-100_1-100_1-2500_1_50_random_1_1.txt,3,27,WLP,breadth,noOB,mofvRevisited2,1,201,0.85313,5068,0.0005564,0.713592,0.0365517,831,1,35,16.7019,36,141,239,0.0100448,0.005795,0.811558,0.0001209,0.014338,0.0001509,0.0114517
Forget21-PPP_9_3_1-100_1-100_1-2500_1_50_random_2_2.txt,3,27,WLP,breadth,noOB,mofvRevisited2,1,237,1.13435,6980,0.0005991,0.944069,0.0492297,1415,1,37,21.1893,54,324,330,0.0116781,0.0047895,1.08284,0.0001859,0.0197997,0.0001967,0.0157668
Forget21-PPP_9_3_1-100_1-100_1-2500_1_50_random_3_3.txt,3,27,WLP,breadth,noOB,mofvRevisited2,1,145,0.684601,4540,0.0005648,0.556617,0.0269669,1115,1,33,21.0556,129,193,236,0.0046658,0.002547,0.650058,0.0001451,0.0140662,0.000134,0.0110684
Forget21-PPP_9_3_1-100_1-100_1-2500_1_50_random_4_4.txt,3,27,WLP,breadth,noOB,mofvRevisited2,1,105,0.600591,3491,0.0005581,0.495903,0.0263317,683,1,31,17.7807,58,138,146,0.0040519,0.0023382,0.573638,0.0001051,0.0110899,0.0001258,0.0087778
Forget21-PPP_9_3_1-100_1-100_1-2500_1_50_random_5_5.txt,3,27,WLP,breadth,noOB,mofvRevisited2,1,68,0.297424,1660,0.001884,0.251478,0.0142357,211,1,9,8.18868,1,15,90,0.0012149,0.000743,0.285585,4.43e-05,0.0041315,5.46e-05,0.0033515
Forget21-PPP_9_3_1-100_1-100_1-2500_1_50_random_6_6.txt,3,27,WLP,breadth,noOB,mofvRevisited2,1,63,0.302726,1687,0.0009004,0.251755,0.0135807,305,1,23,13.3725,7,83,63,0.0011557,0.0008182,0.288878,5.35e-05,0.0043013,6.67e-05,0.0033362
Forget21-PPP_9_3_1-100_1-100_1-2500_1_50_random_7_7.txt,3,27,WLP,breadth,noOB,mofvRevisited2,1,12,0.275882,1654,0.0005605,0.235316,0.0127591,223,1,25,14.1161,24,27,61,0.0003097,0.0006087,0.265408,3.67e-05,0.0035865,6.83e-05,0.0029127
Forget21-PPP_9_3_1-100_1-100_1-2500_1_50_random_8_8.txt,3,27,WLP,breadth,noOB,mofvRevisited2,1,1658,5.45471,32012,0.0401468,4.01373,0.168674,8795,1,41,26.9002,330,2234,1834,0.388844,0.0746396,4.80394,0.0014348,0.113784,0.0013736,0.0870825
Forget21-PPP_9_3_1-100_1-100_1-2500_1_50_random_9_9.txt,3,27,WLP,breadth,noOB,mofvRevisited2,1,225,1.93806,12947,0.0005911,1.57201,0.0707859,3333,1,43,24.9454,332,437,898,0.024048,0.0089918,1.83671,0.0003879,0.0406613,0.0004208,0.0315153
